x, y, x_pixel, y_pixel, x_mm, y_mm,x, y,y_fit=A*(1-exp(-k*t^n)),r,r^2,A,k,n,ssr,,,,,,,,,
0,0,173.0590057,167.707077,-0.000249274,0.106450669,0,0,3.41481666,-3.41481666,11.66097282,448.4965,0.000001,1.735,90480.31517,,,,,,,,,
10,0,260,160.5,9.184651066,-0.811186949,10,0,6.89253705,3.10746295,9.656325985,,,,,,,,,,,,,
20,0,352.6671753,154.6858063,19.01082852,-1.414561386,20,0,11.6343621,8.365637903,69.98389753,,,,,,,,,,,,,
30,0,443,148,28.52920873,-2.22938128,30,0,17.17195184,12.82804816,164.5588196,,,,,,,,,,,,,
40,0,537.8268433,143.8278809,38.58466028,-2.728849019,40,0,23.85660719,16.14339281,260.6091314,,,,,,,,,,,,,
50,0,634.4266968,136.650238,48.75637775,-3.54964554,50,0,31.49041895,18.50958105,342.6045908,,,,,,,,,,,,,
60,0,727.3474731,131.8395538,58.61894178,-4.15539617,60,0,39.53633286,20.46366714,418.7616726,,,,,,,,,,,,,
70,0,824.6954956,132.6850586,69.01968707,-4.124823198,70,0,48.62371689,21.37628311,456.9454797,,,,,,,,,,,,,
80,0,926.1448975,131.3599701,79.75021453,-4.417104778,80,0,58.72573596,21.27426404,452.5943104,,,,,,,,,,,,,
90,0,1025.111816,128.7736816,90.2786327,-4.708114667,90,0,69.12086447,20.87913553,435.9383006,,,,,,,,,,,,,
100,0,1121.150879,130.4573822,100.4968694,-4.676199662,100,0,79.64589377,20.35410623,414.2896403,,,,,,,,,,,,,
110,0,1220.470947,134.9423523,111.0431972,-4.21858113,110,0,90.91218012,19.08781988,364.3448678,,,,,,,,,,,,,
120,0,1315.511719,137.5565033,121.280303,-3.972295614,120,0,101.9922259,18.00777409,324.2799278,,,,,,,,,,,,,
130,0,1414.549805,143.3193359,131.846741,-3.513900181,130,0,113.7852184,16.21478159,262.919142,,,,,,,,,,,,,
140,0,1505.562256,149.2911682,141.5678459,-2.9417083,140,0,124.791193,15.20880701,231.3078106,,,,,,,,,,,,,
150,0,1601.280273,156.7382965,151.7248306,-2.157692118,150,0,136.4878068,13.51219316,182.5793641,,,,,,,,,,,,,
160,0,1691.5,165,161.4628352,-1.369881428,160,0,147.5813698,12.41863021,154.2223764,,,,,,,,,,,,,
170,0,1781.983398,172.3109283,171.1026547,-0.687904481,170,0,158.7328868,11.26711319,126.9478397,,,,,,,,,,,,,
180,0,1865.985107,179.8991394,180.1068897,0.106577394,180,0,169.0749315,10.92506848,119.3571214,,,,,,,,,,,,,
