x, y, x_pixel, y_pixel,x_mm,y_mm,x_err,y_err,,,,,,,,,,,,
0,0,173.0590057,167.707077,3.6988745,2.2590055,3.6988745,2.2590055,,,,,,,,,,,,
10,0,260,160.5,13.412061,1.560626,3.412061,1.560626,,,,,,,,,,,,
20,0,352.6671753,154.6858063,23.841732,1.0218611,3.841732,1.0218611,,,,,,,,,,,,
30,0,443,148,33.429707,0.43286037,3.429707,0.43286037,,x,-1.56886E-25,1.43764E-21,-5.60114E-18,1.21003E-14,-1.58555E-11,1.29586E-08,-6.53472E-06,0.001919707,-0.181896763,2.090817372
40,0,537.8268433,143.8278809,43.110973,0.083498955,3.110973,0.083498955,,y,-2.08196E-25,1.91136E-21,-7.46785E-18,1.61952E-14,-2.13239E-11,1.75257E-08,-8.89544E-06,0.002638562,-0.293480449,7.856661846
50,0,634.4266968,136.650238,52.83885,-0.4814272,2.83885,0.4814272,,,,,,,,,,,,
60,0,727.3474731,131.8395538,62.107693,-0.8321886,2.107693,0.8321886,,,,,,,,,,,,
70,0,824.6954956,132.6850586,71.63081,-0.7722597,1.63081,0.7722597,,,,,,,,,,,,
80,0,926.1448975,131.3599701,81.289444,-0.8658495,1.289444,0.8658495,,,,,,,,,,,,
90,0,1025.111816,128.7736816,90.53816,-1.0431299,0.53816,1.0431299,,,,,,,,,,,,
100,0,1121.150879,130.4573822,99.541626,-0.9285402,0.458374,0.9285402,,,,,,,,,,,,
110,0,1220.470947,134.9423523,109.08086,-0.6086359,0.91914,0.6086359,,,,,,,,,,,,
120,0,1315.511719,137.5565033,118.48929,-0.41275883,1.51071,0.41275883,,,,,,,,,,,,
130,0,1414.549805,143.3193359,128.52292,0.041934013,1.47708,0.041934013,,,,,,,,,,,,
140,0,1505.562256,149.2911682,137.87894,0.5439024,2.12106,0.5439024,,,,,,,,,,,,
150,0,1601.280273,156.7382965,147.88904,1.2093801,2.11096,1.2093801,,,,,,,,,,,,
160,0,1691.5,165,157.806,1.9929647,2.194,1.9929647,,,,,,,,,,,,
170,0,1781.983398,172.3109283,168.3298,2.7210226,1.6702,2.7210226,,,,,,,,,,,,
180,0,1865.985107,179.8991394,178.00082,3.5064192,1.99918,3.5064192,,,,,,,,,,,,
0,10,165.4116669,251.3286438,2.9204645,11.726756,2.9204645,1.726756,,,,,,,,,,,,
10,10,253.7127838,247.7069397,12.689393,11.29288,2.689393,1.29288,,,,,,,,,,,,
20,10,345.7037659,239.2143402,23.079117,10.277797,3.079117,0.277797,,,,,,,,,,,,
30,10,434.9555664,233.2060242,32.595142,9.562617,2.595142,0.437383,,,,,,,,,,,,
40,10,529.3338623,230.8061523,42.251583,9.277881,2.251583,0.722119,,,,,,,,,,,,
50,10,625.2648926,222.4900513,51.919292,8.296374,1.919292,1.703626,,,,,,,,,,,,
60,10,724.5,220.5,61.825466,8.0629,1.825466,1.9371,,,,,,,,,,,,
70,10,824.6380615,219.2394562,71.624664,7.915324,1.624664,2.084676,,,,,,,,,,,,
80,10,921.9754028,217.5832977,80.89624,7.721858,0.89624,2.278142,,,,,,,,,,,,
90,10,1024.744507,217.1616974,90.50415,7.672683,0.50415,2.327317,,,,,,,,,,,,
100,10,1124.616821,216.431839,99.86919,7.587619,0.13081,2.412381,,,,,,,,,,,,
110,10,1223.616577,222.2045593,109.38562,8.262843,0.61438,1.737157,,,,,,,,,,,,
120,10,1321.915283,223.5701447,119.136765,8.42332,0.863235,1.57668,,,,,,,,,,,,
130,10,1419.582886,231.7072906,129.03198,9.384715,0.96802,0.615285,,,,,,,,,,,,
140,10,1515.036499,235.0117645,138.84311,9.77724,1.15689,0.22276,,,,,,,,,,,,
150,10,1605.081055,241.3374634,148.28217,10.531177,1.71783,0.531177,,,,,,,,,,,,
160,10,1699.284424,249.5266724,158.663,11.510814,1.337,1.510814,,,,,,,,,,,,
170,10,1786.202637,257.1196289,168.83087,12.421176,1.16913,2.421176,,,,,,,,,,,,
180,10,1875.715698,266.1031189,179.05899,13.498805,0.94101,3.498805,,,,,,,,,,,,
0,20,153.2637787,339.083374,1.7357378,22.100376,1.7357378,2.100376,,,,,,,,,,,,
10,20,243.2884369,336.2866821,11.491502,21.77879,1.491502,1.77879,,,,,,,,,,,,
20,20,337.8198547,328.6697083,22.211113,20.89912,2.211113,0.89912,,,,,,,,,,,,
30,20,431.6532288,320.8202515,32.251736,19.987026,2.251736,0.012974,,,,,,,,,,,,
40,20,526.125061,318.1811218,41.926746,19.679111,1.926746,0.320889,,,,,,,,,,,,
50,20,621.5,312.5,51.541187,19.014172,1.541187,0.985828,,,,,,,,,,,,
60,20,721.4822998,309.1158447,61.526608,18.616772,1.526608,1.383228,,,,,,,,,,,,
70,20,818.7992554,307.2806396,71.06123,18.400852,1.06123,1.599148,,,,,,,,,,,,
80,20,922.5317383,304.7411804,80.9491,18.101658,0.9491,1.898342,,,,,,,,,,,,
90,20,1024.583618,302.4067993,90.48862,17.82616,0.48862,2.17384,,,,,,,,,,,,
