x, y, x_pixel, y_pixel,x_mm,y_mm,,,,,,,,,,,,,
0,0,173.0590057,167.707077,4.066825433,2.611278085,3.698865612,,,,,,,,,,,,
10,0,260,160.5,13.46685265,1.824743151,13.41197717,,,9,8,7,6,5,4,3,2,1,0
20,0,352.6671753,154.6858063,23.58696361,1.192658668,23.84131174,,x,-1.56886E-25,1.43764E-21,-5.60114E-18,1.21003E-14,-1.58555E-11,1.29586E-08,-6.53472E-06,0.001919707,-0.181896763,2.090817372
30,0,443,148,33.31775047,0.468675479,33.42838104,,y,-2.08196E-25,1.91136E-21,-7.46785E-18,1.61952E-14,-2.13239E-11,1.75257E-08,-8.89544E-06,0.002638562,-0.293480449,7.856661846
40,0,537.8268433,143.8278809,43.24940642,0.018516867,43.10742998,,,,,,,,,,,,
50,0,634.4266968,136.650238,53.02573469,-0.752852513,52.83093837,,x_ex,0,0,4.649E+15,2.22489E+13,1112.442709,46.49566843,50.60642497,0,0,#NUM!
60,0,727.3474731,131.8395538,62.14032837,-1.267573268,62.09254884,,,,,,,,,,,,
70,0,824.6954956,132.6850586,71.4714292,-1.177244491,71.60274646,,,,,,,,,,,,
80,0,926.1448975,131.3599701,81.07210087,-1.31878307,81.24013641,,,,,,,,,,,,
90,0,1025.111816,128.7736816,90.41743207,-1.594615956,90.45830945,,,,,,,,,,,,
100,0,1121.150879,130.4573822,99.53379279,-1.415109308,99.4217329,,,,,,,,,,,,
110,0,1220.470947,134.9423523,109.0509603,-0.935802449,108.8994617,,,,,,,,,,,,
120,0,1315.511719,137.5565033,118.2711474,-0.6556785,118.2312405,,,,,,,,,,,,
130,0,1414.549805,143.3193359,128.0440199,-0.03626533,128.1590198,,,,,,,,,,,,
140,0,1505.562256,149.2911682,137.2505785,0.60824564,137.3838956,,,,,,,,,,,,
150,0,1601.280273,156.7382965,147.2792536,1.415535981,147.2547517,,,,,,,,,,,,
160,0,1691.5,165,157.1359668,2.315464565,156.9806035,,,,,,,,,,,,
170,0,1781.983398,172.3109283,167.3355923,3.115371758,167.3454403,,,,,,,,,,,,
180,0,1865.985107,179.8991394,176.6704406,3.948883274,176.8704802,,,,,,,,,,,,
0,10,165.4116669,251.3286438,3.254143275,11.91421047,2.920461818,,,,,,,,,,,,
10,10,253.7127838,247.7069397,12.78070639,11.50670135,12.68931987,,,,,,,,,,,,
20,10,345.7037659,239.2143402,22.82897942,10.55217137,23.07872372,,,,,,,,,,,,
30,10,434.9555664,233.2060242,32.46062778,9.877867005,32.59392238,,,,,,,,,,,,
40,10,529.3338623,230.8061523,42.37343228,9.60879121,42.24836415,,,,,,,,,,,,
50,10,625.2648926,222.4900513,52.11273047,8.677640045,51.91195529,,,,,,,,,,,,
60,10,724.5,220.5,61.86451902,8.455124647,61.81087486,,,,,,,,,,,,
70,10,824.6380615,219.2394562,71.46596842,8.314244044,71.59721151,,,,,,,,,,,,
80,10,921.9754028,217.5832977,80.67855875,8.129228719,80.84895178,,,,,,,,,,,,
90,10,1024.744507,217.1616974,90.38269726,8.082144689,90.42419737,,,,,,,,,,,,
100,10,1124.616821,216.431839,99.86421769,8.000649218,99.74807814,,,,,,,,,,,,
110,10,1223.616577,222.2045593,109.3541883,8.645710413,109.20428,,,,,,,,,,,,
120,10,1321.915283,223.5701447,118.8972683,8.798461336,118.8681123,,,,,,,,,,,,
130,10,1419.582886,231.7072906,128.546632,9.709809592,128.6669829,,,,,,,,,,,,
140,10,1515.036499,235.0117645,138.225433,10.08042797,138.3501185,,,,,,,,,,,,
150,10,1605.081055,241.3374634,147.6863586,10.79065339,147.6538444,,,,,,,,,,,,
160,10,1699.284424,249.5266724,158.0042935,11.7114243,157.8488108,,,,,,,,,,,,
170,10,1786.202637,257.1196289,167.8132848,12.5662864,167.8383669,,,,,,,,,,,,
180,10,1875.715698,266.1031189,177.704728,13.5788465,177.871124,,,,,,,,,,,,
0,20,153.2637787,339.083374,1.970104713,21.81611885,1.735738016,,,,,,,,,,,,
10,20,243.2884369,336.2866821,11.64435108,21.50098509,11.49144141,,,,,,,,,,,,
20,20,337.8198547,328.6697083,21.96987418,20.64221971,22.2107486,,,,,,,,,,,,
30,20,431.6532288,320.8202515,32.1081638,19.75662415,32.25049032,,,,,,,,,,,,
40,20,526.125061,318.1811218,42.04176726,19.45875493,41.9235379,,,,,,,,,,,,
50,20,621.5,312.5,51.73672467,18.81738806,51.53410407,,,,,,,,,,,,
60,20,721.4822998,309.1158447,61.57201445,18.43525211,61.51217898,,,,,,,,,,,,
70,20,818.7992554,307.2806396,70.91067104,18.22800232,71.03403162,,,,,,,,,,,,
80,20,922.5317383,304.7411804,80.73107588,17.94120216,80.90116755,,,,,,,,,,,,
90,20,1024.583618,302.4067993,90.36747933,17.67754793,90.40925571,,,,,,,,,,,,
100,20,1126.023071,307.1125183,99.99831894,18.20901622,99.88056579,,,,,,,,,,,,
110,20,1226.791992,306.528595,109.6604189,18.14307049,109.5122825,,,,,,,,,,,,
120,20,1325,311.5,119.1990952,18.70447455,119.1752117,,,,,,,,,,,,
130,20,1424.373047,315.7806396,129.0255616,19.18777829,129.1506615,,,,,,,,,,,,
140,20,1517.86731,321.841217,138.5174666,19.87184255,138.6391257,,,,,,,,,,,,
150,20,1613.986206,329.8313599,148.6429841,20.7732308,148.5919328,,,,,,,,,,,,
160,20,1704.135132,336.1231079,158.5466397,21.48254997,158.3923648,,,,,,,,,,,,
170,20,1796.879272,344.2232666,169.0203395,22.39501307,169.085151,,,,,,,,,,,,
180,20,1883.83252,354.9226379,178.5548528,23.59877122,178.6736608,,,,,,,,,,,,
0,30,146.7878418,431.8293762,1.289362386,32.17575851,1.134694422,,,,,,,,,,,,
10,30,235.9230042,422.7972412,10.84263574,31.17695045,10.64658448,,,,,,,,,,,,
20,30,329,418,21.00776856,30.64541429,21.23396777,,,,,,,,,,,,
30,30,423.9498596,414.058197,31.28462969,30.20813498,31.44725934,,,,,,,,,,,,
40,30,516.3057861,409.2060242,41.02442866,29.66922947,40.92856431,,,,,,,,,,,,
50,30,617.3994751,403.5742798,51.32664777,29.04288889,51.12243512,,,,,,,,,,,,
60,30,714.3413696,400.3471069,60.87894427,28.68357264,60.80463202,,,,,,,,,,,,
70,30,818.5740356,397.0354919,70.88923952,28.31455705,71.01228864,,,,,,,,,,,,
80,30,918.329895,395.6611938,80.33444752,28.16133111,80.50664076,,,,,,,,,,,,
90,30,1021.367126,391.61026,90.06325862,27.70938654,90.11055168,,,,,,,,,,,,
100,30,1127.410522,395.7107544,100.1306247,28.16685733,100.0113273,,,,,,,,,,,,
110,30,1226.057007,396.1231689,109.5895244,28.21284334,109.4409653,,,,,,,,,,,,
120,30,1329,401.5,119.5907486,28.81196933,119.5737202,,,,,,,,,,,,
130,30,1428.5,407,129.4386951,29.42399247,129.5675519,,,,,,,,,,,,
140,30,1524.254639,414.0435791,139.1774843,30.20651231,139.2917982,,,,,,,,,,,,
150,30,1618.510498,418.2402344,149.1305486,30.67204834,149.070237,,,,,,,,,,,,
160,30,1713.862427,425.6400757,159.6368989,31.49160119,159.4882268,,,,,,,,,,,,
170,30,1800.592773,432.8688354,169.4395163,32.29053767,169.5181912,,,,,,,,,,,,
180,30,1888.786621,442.9126587,179.0673175,33.39776297,179.1469568,,,,,,,,,,,,
0,40,142.9230042,523.4522705,0.884430714,42.1447751,0.787514313,,,,,,,,,,,,
10,40,232.4753723,515.0059204,10.46776068,41.23906511,10.25191765,,,,,,,,,,,,
20,40,321.3786316,508.566864,20.17567692,40.54671776,20.38506877,,,,,,,,,,,,
30,40,416,505,30.43283062,40.16250174,30.61505517,,,,,,,,,,,,
40,40,513.8374634,501.338501,40.76812598,39.767577,40.67820387,,,,,,,,,,,,
50,40,609.3377686,497.2987976,50.51873057,39.33125745,50.31269636,,,,,,,,,,,,
60,40,712.2045898,492.4019165,60.67130792,38.80151417,60.59271933,,,,,,,,,,,,
70,40,815.2689819,486.5129395,70.57470125,38.16323285,70.69304847,,,,,,,,,,,,
80,40,918.803894,487.1505127,80.379197,38.23240093,80.55116444,,,,,,,,,,,,
90,40,1024.094482,484.4496155,90.32121183,37.93928635,90.36383023,,,,,,,,,,,,
100,40,1128.419312,488.8435669,100.226847,38.41599744,100.1064297,,,,,,,,,,,,
110,40,1229.292725,491.7368469,109.9016578,38.72949666,109.7550535,,,,,,,,,,,,
120,40,1333,494.5,119.9827026,39.02859709,119.9725458,,,,,,,,,,,,
130,40,1434.155029,498.0156555,130.0055879,39.40872993,130.1390665,,,,,,,,,,,,
