x, y, x_pixel, y_pixel,x_mm,y_mm,err_x,err_y,x_mm_,y_mm_,err_x,err_y,,,,,,,,,,,
0,0,173.0590057,167.707077,4.066825433,2.611278085,4.066825433,2.611278085,3.698865612,2.259017209,3.698865612,2.259017209,,,,,,,,,,,
10,0,260,160.5,13.46685265,1.824743151,3.466852652,1.824743151,13.41197717,1.560636443,3.411977173,1.560636443,,9,8,7,6,5,4,3,2,1,0
20,0,352.6671753,154.6858063,23.58696361,1.192658668,3.58696361,1.192658668,23.84131174,1.021870173,3.841311741,1.021870173,x,-1.56886E-25,1.43764E-21,-5.60114E-18,1.21003E-14,-1.58555E-11,1.29586E-08,-6.53472E-06,0.001919707,-0.181896763,2.090817372
30,0,443,148,33.31775047,0.468675479,3.317750468,0.468675479,33.42838104,0.432872779,3.428381044,0.432872779,y,-2.08196E-25,1.91136E-21,-7.46785E-18,1.61952E-14,-2.13239E-11,1.75257E-08,-8.89544E-06,0.002638562,-0.293480449,7.856661846
40,0,537.8268433,143.8278809,43.24940642,0.018516867,3.249406422,0.018516867,43.10742998,0.083511468,3.107429984,0.083511468,,,,,,,,,,,
50,0,634.4266968,136.650238,53.02573469,-0.752852513,3.02573469,0.752852513,52.83093837,-0.481412472,2.830938375,0.481412472,,,,,,,,,,,
60,0,727.3474731,131.8395538,62.14032837,-1.267573268,2.140328375,1.267573268,62.09254884,-0.832180157,2.092548836,0.832180157,,,,,,,,,,,
70,0,824.6954956,132.6850586,71.4714292,-1.177244491,1.471429196,1.177244491,71.60274646,-0.772246417,1.602746459,0.772246417,,,,,,,,,,,
80,0,926.1448975,131.3599701,81.07210087,-1.31878307,1.072100874,1.31878307,81.24013641,-0.865841394,1.240136411,0.865841394,,,,,,,,,,,
90,0,1025.111816,128.7736816,90.41743207,-1.594615956,0.417432074,1.594615956,90.45830945,-1.043115762,0.458309448,1.043115762,,,,,,,,,,,
100,0,1121.150879,130.4573822,99.53379279,-1.415109308,0.466207206,1.415109308,99.4217329,-0.928529194,0.578267102,0.928529194,,,,,,,,,,,
110,0,1220.470947,134.9423523,109.0509603,-0.935802449,0.949039693,0.935802449,108.8994617,-0.608622135,1.100538284,0.608622135,,,,,,,,,,,
120,0,1315.511719,137.5565033,118.2711474,-0.6556785,1.728852629,0.6556785,118.2312405,-0.412747333,1.768759475,0.412747333,,,,,,,,,,,
130,0,1414.549805,143.3193359,128.0440199,-0.03626533,1.955980108,0.03626533,128.1590198,0.041944594,1.840980202,0.041944594,,,,,,,,,,,
140,0,1505.562256,149.2911682,137.2505785,0.60824564,2.749421497,0.60824564,137.3838956,0.543908829,2.616104386,0.543908829,,,,,,,,,,,
150,0,1601.280273,156.7382965,147.2792536,1.415535981,2.720746399,1.415535981,147.2547517,1.209381923,2.745248291,1.209381923,,,,,,,,,,,
160,0,1691.5,165,157.1359668,2.315464565,2.864033211,2.315464565,156.9806035,1.992973081,3.019396514,1.992973081,,,,,,,,,,,
170,0,1781.983398,172.3109283,167.3355923,3.115371758,2.664407695,3.115371758,167.3454403,2.721029441,2.654559709,2.721029441,,,,,,,,,,,
180,0,1865.985107,179.8991394,176.6704406,3.948883274,3.329559401,3.948883274,176.8704802,3.5064236,3.129519847,3.5064236,,,,,,,,,,,
0,10,165.4116669,251.3286438,3.254143275,11.91421047,3.254143275,1.914210469,2.920461818,11.72672236,2.920461818,1.726722365,,,,,,,,,,,
10,10,253.7127838,247.7069397,12.78070639,11.50670135,2.780706387,1.506701348,12.68931987,11.29285278,2.689319875,1.292852781,,,,,,,,,,,
20,10,345.7037659,239.2143402,22.82897942,10.55217137,2.828979422,0.552171371,23.07872372,10.27778146,3.078723716,0.277781458,,,,,,,,,,,
30,10,434.9555664,233.2060242,32.46062778,9.877867005,2.460627782,0.122132995,32.59392238,9.562600335,2.593922384,0.437399665,,,,,,,,,,,
40,10,529.3338623,230.8061523,42.37343228,9.60879121,2.373432278,0.39120879,42.24836415,9.277858364,2.248364153,0.722141636,,,,,,,,,,,
50,10,625.2648926,222.4900513,52.11273047,8.677640045,2.112730471,1.322359955,51.91195529,8.296354603,1.911955291,1.703645397,,,,,,,,,,,
60,10,724.5,220.5,61.86451902,8.455124647,1.864519017,1.544875353,61.81087486,8.062887519,1.810874862,1.937112481,,,,,,,,,,,
